"type";"value";"display";"exclude";"params"
"points";"四瀆";;;"{"typ":""}"
"points";"天井";;;"{"typ":"三焦經合穴"}"
"points";"清冷淵";;;"{"typ":""}"
"points";"消濼";;;"{"typ":""}"
"points";"臑會";;;"{"typ":""}"
"points";"肩髎";;;"{"typ":""}"
"points";"天髎";;;"{"typ":""}"
"points";"天牖";;;"{"typ":""}"
"points";"翳風";;;"{"typ":""}"
"points";"瘈脈";;;"{"typ":""}"
"points";"顱息";;;"{"typ":""}"
"points";"角孫";;;"{"typ":""}"
"points";"耳門";;;"{"typ":""}"
"points";"和髎";;;"{"typ":""}"
"points";"絲竹空";;;"{"typ":""}"
"points";"瞳子髎";;;"{"typ":""}"
"points";"聽會";;;"{"typ":""}"
"points";"上關";;;"{"typ":""}"
"points";"頷厭";;;"{"typ":""}"
"points";"懸顱";;;"{"typ":""}"
"points";"懸釐";;;"{"typ":""}"
"points";"曲鬢";;;"{"typ":""}"
"points";"率谷";;;"{"typ":""}"
"points";"天衝";;;"{"typ":""}"
"points";"浮白";;;"{"typ":""}"
"points";"頭竅陰";;;"{"typ":""}"
"points";"完骨";;;"{"typ":""}"
"points";"本神";;;"{"typ":""}"
"points";"陽白";;;"{"typ":""}"
"points";"頭臨泣";;;"{"typ":""}"
"points";"目窗";;;"{"typ":""}"
"points";"正營";;;"{"typ":""}"
"points";"承靈";;;"{"typ":""}"
"points";"腦空";;;"{"typ":""}"
"points";"風池";;;"{"typ":""}"
"points";"肩井";;;"{"typ":""}"
"points";"淵腋";;;"{"typ":""}"
"points";"輒筋";;;"{"typ":""}"
"points";"日月";;;"{"typ":"膽經募穴"}"
"points";"京門";;;"{"typ":"腎經募穴"}"
"points";"帶脈";;;"{"typ":""}"
"points";"五樞";;;"{"typ":""}"
"points";"維道";;;"{"typ":""}"
"points";"居髎";;;"{"typ":""}"
"points";"環跳";;;"{"typ":"天星十二,回陽九穴"}"
"points";"風市";;;"{"typ":""}"
"points";"中瀆";;;"{"typ":""}"
"points";"膝陽關";;;"{"typ":""}"
"points";"陽陵泉";;;"{"typ":"膽經合,八會筋,膽經腑合,十總外傷,天星十二穴"}"
"points";"陽交";;;"{"typ":"陽維脈郄穴"}"
"points";"外丘";;;"{"typ":"膽經郄穴"}"
"points";"光明";;;"{"typ":"膽經絡穴"}"
"points";"陽輔";;;"{"typ":"膽經經穴"}"
"points";"懸鐘";;;"{"typ":"八會髓穴"}"
"points";"丘墟";;;"{"typ":"膽經原穴"}"
"points";"足臨泣";;;"{"typ":"膽經俞,帶脈八脈八法穴"}"
"points";"地五會";;;"{"typ":""}"
"points";"俠谿";;;"{"typ":"膽經滎穴"}"
"points";"足竅陰";;;"{"typ":"膽經井穴"}"
"points";"大敦";;;"{"typ":"肝經井穴"}"
"points";"行間";;;"{"typ":"肝經滎穴"}"
"points";"太衝";;;"{"typ":"肝經俞,天星十二穴"}"
"points";"中封";;;"{"typ":"肝經經穴"}"
"points";"蠡溝";;;"{"typ":"肝經絡穴"}"
"points";"中都";;;"{"typ":"肝經郄穴"}"
"points";"膝關";;;"{"typ":""}"
"points";"曲泉";;;"{"typ":"肝經合穴"}"
"points";"陰包";;;"{"typ":""}"
"points";"足五里";;;"{"typ":""}"
"points";"陰廉";;;"{"typ":""}"
"points";"急脈";;;"{"typ":""}"
"points";"章門";;;"{"typ":"八會臟穴"}"
"points";"期門";;;"{"typ":"肝經募穴"}"
"points";"會陰";;;"{"typ":""}"
"points";"曲骨";;;"{"typ":""}"
"points";"中極";;;"{"typ":"膀胱經募穴"}"
"points";"關元";;;"{"typ":"小腸經募穴"}"
"points";"石門";;;"{"typ":"三焦經募穴"}"
"points";"氣海";;;"{"typ":""}"
"points";"陰交";;;"{"typ":""}"
"points";"神闕";;;"{"typ":""}"
"points";"水分";;;"{"typ":""}"
"points";"下脘";;;"{"typ":""}"
"points";"建里";;;"{"typ":""}"
"points";"中脘";;;"{"typ":"胃經募,八會腑,回陽九穴"}"
"points";"上脘";;;"{"typ":""}"
"points";"巨闕";;;"{"typ":"心經募穴"}"
"points";"鳩尾";;;"{"typ":"任脈絡穴"}"
"points";"中庭";;;"{"typ":""}"
"points";"膻中";;;"{"typ":"心包經募,八會氣穴"}"
"points";"玉堂";;;"{"typ":""}"
"points";"紫宮";;;"{"typ":""}"
"points";"華蓋";;;"{"typ":""}"
"points";"璇璣";;;"{"typ":""}"
"points";"天突";;;"{"typ":""}"
"points";"廉泉";;;"{"typ":""}"
"points";"承漿";;;"{"typ":""}"
"points";"長強";;;"{"typ":"督脈絡穴"}"
"points";"腰俞";;;"{"typ":""}"
"points";"腰陽關";;;"{"typ":""}"
"points";"命門";;;"{"typ":""}"
"points";"懸樞";;;"{"typ":""}"
"points";"脊中";;;"{"typ":""}"
"points";"中樞";;;"{"typ":""}"
"points";"筋縮";;;"{"typ":""}"
"points";"至陽";;;"{"typ":""}"
"points";"靈台";;;"{"typ":""}"
"points";"神道";;;"{"typ":""}"
"points";"身柱";;;"{"typ":""}"
"points";"陶道";;;"{"typ":""}"
"points";"大椎";;;"{"typ":""}"
"points";"瘂門";;;"{"typ":"回陽九穴"}"
"points";"風府";;;"{"typ":""}"
"points";"腦戶";;;"{"typ":""}"
"points";"強間";;;"{"typ":""}"
"points";"後頂";;;"{"typ":""}"
"points";"百會";;;"{"typ":""}"
"points";"前頂";;;"{"typ":""}"
"points";"顖會";;;"{"typ":""}"
"points";"上星";;;"{"typ":""}"
"points";"神庭";;;"{"typ":""}"
"points";"素髎";;;"{"typ":""}"
"points";"水溝";;;"{"typ":""}"
"points";"兌端";;;"{"typ":""}"
"points";"齦交";;;"{"typ":""}"
"points";"太陽";;;"{"typ":""}"
"points";"耳尖";;;"{"typ":""}"
"points";"四神聰";;;"{"typ":""}"
"points";"髮際";;;"{"typ":""}"
"points";"印堂";;;"{"typ":""}"
"points";"魚腰";;;"{"typ":""}"
